CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
logcosh_loss,32,500,70,1,2,0.5,"[9.89743409e-03 5.56852353e+01 1.04208068e-01 5.57121221e+01
 5.92812518e-02 1.23284384e-02 5.46602243e+00 4.00000000e+00]","[9.89743409e-03 5.56852353e+01 1.04208068e-01 5.58421914e+01
 5.92812518e-02 1.23284384e-02 5.28620702e+00 4.00000000e+00]","[9.89743409e-03 5.56852353e+01 1.04208068e-01 5.58421914e+01
 5.92812518e-02 1.23284384e-02 5.28620702e+00 4.00000000e+00]","[9.89743409e-03 5.56852353e+01 1.06305784e-01 5.56643652e+01
 5.92812518e-02 1.21643870e-02 5.45912152e+00 4.00000000e+00]","[9.89743409e-03 5.56852353e+01 1.06305784e-01 5.57121221e+01
 5.92812518e-02 1.21643870e-02 5.46463713e+00 4.00000000e+00]","[3.773973693607763e-06, 3.920420939107084e-06, 3.993005161971543e-06, 4.384761971410671e-06, 4.42612818980336e-06]",4.099657991180084e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.48858727e-03 5.88617484e+01 1.22326112e-01 5.88372920e+01
 9.64493209e-02 1.30772883e-02 4.09675747e+01 4.00000000e+00]","[9.48858727e-03 5.86578938e+01 1.22326112e-01 5.88370679e+01
 9.64493209e-02 1.30772883e-02 4.08737800e+01 4.00000000e+00]","[9.48858727e-03 5.82930687e+01 1.17002782e-01 5.83877757e+01
 8.73872380e-02 1.27190573e-02 3.51630298e+01 4.00000000e+00]","[9.50084839e-03 5.83686445e+01 1.22326112e-01 5.84467021e+01
 1.01022842e-01 1.27190573e-02 4.70587626e+01 4.00000000e+00]","[9.48858727e-03 5.85304729e+01 1.22326112e-01 5.85434298e+01
 8.73872380e-02 1.27190573e-02 3.49116835e+01 4.00000000e+00]","[8.625319072672637e-06, 9.15892814511936e-06, 9.562099079083453e-06, 9.580566258006432e-06, 9.731707711607125e-06]",9.3317240532978e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.68587815e-03 5.71827023e+01 1.03961025e-01 5.72226363e+01
 8.26212167e-02 1.32073275e-02 2.91502070e+01 4.00000000e+00]","[9.68587815e-03 5.71827023e+01 1.03961025e-01 5.72226363e+01
 8.26212167e-02 1.32073275e-02 2.89909922e+01 4.00000000e+00]","[9.68587815e-03 5.71358600e+01 1.03980113e-01 5.72317595e+01
 8.53384768e-02 1.32073275e-02 3.22711238e+01 4.00000000e+00]","[9.68587815e-03 5.73124307e+01 1.03980113e-01 5.73184017e+01
 8.53384768e-02 1.32073275e-02 3.10667671e+01 4.00000000e+00]","[9.68587815e-03 5.75030552e+01 1.05338054e-01 5.74980665e+01
 8.70879699e-02 1.32073275e-02 3.30056116e+01 4.00000000e+00]","[4.910471245735875e-06, 5.104832589652271e-06, 5.207477008105725e-06, 5.3242868943032066e-06, 5.333963082101935e-06]",5.176206163979803e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.82797867e-03 5.58754585e+01 1.05026319e-01 5.58212095e+01
 6.62532327e-02 1.24380182e-02 1.44905724e+01 4.00000000e+00]","[9.82797867e-03 5.58884637e+01 1.05026319e-01 5.58212095e+01
 6.67687982e-02 1.24380182e-02 1.52379016e+01 4.00000000e+00]","[9.82797867e-03 5.58754585e+01 1.06588228e-01 5.58212095e+01
 6.64554982e-02 1.24380182e-02 1.50227041e+01 4.00000000e+00]","[9.82797867e-03 5.58754585e+01 1.06588228e-01 5.58212095e+01
 6.67687982e-02 1.24380182e-02 1.52379016e+01 4.00000000e+00]","[9.82797867e-03 5.58754585e+01 1.04365037e-01 5.58212095e+01
 6.67687982e-02 1.24380182e-02 1.52379016e+01 4.00000000e+00]","[4.065480455621088e-06, 4.162634997830882e-06, 4.171275336060565e-06, 4.175457680630979e-06, 4.1847314468964225e-06]",4.151915983407988e-06
logcosh_loss,32,500,70,1,2,0.5,"[1.05430220e-02 5.18644717e+01 9.33445478e-02 5.18848082e+01
 6.58834775e-02 1.15490810e-02 1.55105404e+01 4.00000000e+00]","[1.05430220e-02 5.16898540e+01 9.11740049e-02 5.17793609e+01
 6.58834775e-02 1.16955594e-02 1.53112978e+01 4.00000000e+00]","[1.05430220e-02 5.18644717e+01 9.33445478e-02 5.18848082e+01
 6.58834775e-02 1.15490810e-02 1.55105404e+01 4.00000000e+00]","[1.05430220e-02 5.18362851e+01 9.22054447e-02 5.18848082e+01
 6.58834775e-02 1.16955594e-02 1.55441875e+01 4.00000000e+00]","[1.05430220e-02 5.18362851e+01 9.22054447e-02 5.18848082e+01
 6.58834775e-02 1.16955594e-02 1.47304238e+01 4.00000000e+00]","[8.055254869706857e-06, 8.06372952728739e-06, 8.075635491436996e-06, 8.106983777463423e-06, 8.200490416634639e-06]",8.100418816505862e-06
logcosh_loss,32,500,70,1,2,0.5,"[1.02196581e-02 5.32441907e+01 1.00270069e-01 5.31596881e+01
 5.93768849e-02 1.16461282e-02 7.38392218e+00 4.00000000e+00]","[1.02196581e-02 5.32243219e+01 1.00270069e-01 5.30680890e+01
 6.02070094e-02 1.20536658e-02 8.52825403e+00 4.00000000e+00]","[1.02196581e-02 5.32959060e+01 9.70244670e-02 5.34215272e+01
 6.02070094e-02 1.16461282e-02 7.67918971e+00 4.00000000e+00]","[1.02196581e-02 5.31441524e+01 9.72054041e-02 5.30397657e+01
 6.13516352e-02 1.22450018e-02 9.01679086e+00 4.00000000e+00]","[1.02196581e-02 5.32383878e+01 1.01662524e-01 5.31021927e+01
 6.02070094e-02 1.16461282e-02 8.47775467e+00 4.00000000e+00]","[5.569361981362185e-06, 5.716672126593885e-06, 5.905218348813345e-06, 6.0131722724450545e-06, 6.038254088861907e-06]",5.848535763615276e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.54880259e-03 5.80288129e+01 1.04744313e-01 5.81405091e+01
 6.00657914e-02 1.35277770e-02 4.84778595e+00 4.00000000e+00]","[9.54880259e-03 5.80288129e+01 1.10885288e-01 5.81151627e+01
 6.00657914e-02 1.35277770e-02 5.06096526e+00 4.00000000e+00]","[9.54880259e-03 5.81560023e+01 1.13499564e-01 5.82752428e+01
 6.00657914e-02 1.35277770e-02 5.17563412e+00 4.00000000e+00]","[9.54880259e-03 5.81560023e+01 1.13499564e-01 5.82752428e+01
 6.00657914e-02 1.35277770e-02 5.17563412e+00 4.00000000e+00]","[9.54880259e-03 5.81560023e+01 1.13499564e-01 5.82752428e+01
 6.00657914e-02 1.35277770e-02 5.17563412e+00 4.00000000e+00]","[7.364376353294435e-06, 7.43219312284009e-06, 7.486644458139067e-06, 7.502117529791101e-06, 7.607794887408933e-06]",7.478625270294723e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.61044124e-03 5.78348580e+01 1.10562935e-01 5.77830420e+01
 1.79735089e-01 1.33671797e-02 8.71389335e+01 4.00000000e+00]","[9.61044124e-03 5.75902792e+01 1.04868462e-01 5.76580650e+01
 1.78811888e-01 1.33671797e-02 8.69692963e+01 4.00000000e+00]","[9.61044124e-03 5.76936098e+01 1.04868462e-01 5.76580650e+01
 1.76367169e-01 1.33671797e-02 8.54961113e+01 4.00000000e+00]","[9.61044124e-03 5.76748888e+01 1.07588801e-01 5.78573721e+01
 1.80369563e-01 1.33671797e-02 8.76182402e+01 4.00000000e+00]","[9.61044124e-03 5.75902792e+01 1.04868462e-01 5.76580650e+01
 1.78811888e-01 1.33671797e-02 8.71588785e+01 4.00000000e+00]","[5.945328308119346e-06, 6.0180407827986315e-06, 6.096439033752905e-06, 6.227099911538815e-06, 6.264272492771835e-06]",6.110236105796307e-06
logcosh_loss,32,500,70,1,2,0.5,"[9.47227810e-03 5.88298012e+01 1.22924055e-01 5.89737675e+01
 8.15736524e-02 1.29584100e-02 2.87819882e+01 4.00000000e+00]","[9.47227810e-03 5.88298012e+01 1.24295959e-01 5.89737675e+01
 8.15736524e-02 1.29584100e-02 2.87819882e+01 4.00000000e+00]","[9.47227810e-03 5.88298012e+01 1.24295959e-01 5.89737675e+01
 8.15736524e-02 1.29584100e-02 2.87819882e+01 4.00000000e+00]","[9.47227810e-03 5.88500796e+01 1.22924055e-01 5.89737675e+01
 8.15736524e-02 1.29584100e-02 2.82587062e+01 4.00000000e+00]","[9.47227810e-03 5.87340343e+01 1.22924055e-01 5.88886298e+01
 8.15736524e-02 1.29584100e-02 2.85485066e+01 4.00000000e+00]","[9.028869290881983e-06, 9.105409819386194e-06, 9.149846215738705e-06, 9.266099632900936e-06, 9.279610022668808e-06]",9.165966996315323e-06
logcosh_loss,32,500,70,1,2,0.5,"[1.01150306e-02 5.40573718e+01 9.51324819e-02 5.39659493e+01
 7.32948715e-02 1.23187120e-02 2.30235641e+01 4.00000000e+00]","[1.01150306e-02 5.38543777e+01 9.04971158e-02 5.39484591e+01
 7.32948715e-02 1.26223429e-02 2.24281721e+01 4.00000000e+00]","[1.01150306e-02 5.36682313e+01 9.04971158e-02 5.38013576e+01
 7.32948715e-02 1.23187120e-02 2.30235641e+01 4.00000000e+00]","[1.01150306e-02 5.38543777e+01 9.04971158e-02 5.39484591e+01
 7.32948715e-02 1.23187120e-02 2.24281721e+01 4.00000000e+00]","[1.01150306e-02 5.38543777e+01 9.04971158e-02 5.39484591e+01
 7.32948715e-02 1.23187120e-02 2.25518645e+01 4.00000000e+00]","[4.0819946518529675e-06, 4.4600705508497875e-06, 4.838071759342477e-06, 5.250871639319813e-06, 5.254994307799918e-06]",4.777200581832993e-06
